statement,author,tags,date
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']",2024-07-30 16:45:46.595750+00:00
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']",2024-07-30 16:45:46.597666+00:00
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,['friendship'],2024-07-30 16:45:46.598682+00:00
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,"['friendship', 'love']",2024-07-30 16:45:46.599906+00:00
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,"['friendship', 'love']",2024-07-30 16:45:46.602921+00:00
